angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.0,,,"(818, 379, 384, 384)",,,0.0,,,0.0,,,0.97,,,0.02,,,0.01,,,0.0,,
0.0,,,"(818, 379, 384, 384)",,,0.0,,,0.0,,,0.97,,,0.02,,,0.01,,,0.0,,
0.0,,,"(818, 379, 384, 384)",,,0.0,,,0.0,,,0.97,,,0.02,,,0.0,,,0.0,,
0.0,,,"(828, 390, 378, 378)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(828, 390, 378, 378)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(827, 389, 381, 381)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(827, 389, 381, 381)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(830, 390, 379, 379)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(840, 389, 380, 380)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(830, 390, 379, 379)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(830, 390, 379, 379)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(818, 373, 389, 389)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"(820, 373, 388, 388)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(820, 373, 388, 388)",,,0.0,,,0.0,,,0.99,,,0.01,,,0.0,,,0.0,,
0.0,,,"(820, 374, 387, 387)",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,0.1,,"(818, 373, 386, 386)","(1557, 465, 87, 87)",,0.0,0.01,,0.0,0.21,,1.0,0.05,,0.0,0.29,,0.0,0.32,,0.0,0.02,
0.0,0.1,,"(818, 372, 388, 388)","(1557, 465, 87, 87)",,0.0,0.01,,0.0,0.21,,1.0,0.05,,0.0,0.28,,0.0,0.32,,0.0,0.02,
0.0,0.08,,"(819, 373, 385, 385)","(1555, 462, 90, 90)",,0.0,0.01,,0.0,0.25,,1.0,0.07,,0.0,0.25,,0.0,0.29,,0.0,0.04,
0.0,0.1,,"(818, 373, 385, 385)","(1557, 465, 87, 87)",,0.0,0.01,,0.0,0.21,,1.0,0.05,,0.0,0.28,,0.0,0.32,,0.0,0.02,
0.0,0.14,,"(833, 391, 379, 379)","(1558, 468, 82, 82)",,0.0,0.0,,0.0,0.18,,1.0,0.04,,0.0,0.41,,0.0,0.18,,0.0,0.06,
0.0,0.15,0.1,"(832, 391, 380, 380)","(1559, 467, 82, 82)","(990, 676, 139, 139)",0.0,0.0,0.0,0.0,0.24,0.09,1.0,0.03,0.31,0.0,0.36,0.07,0.0,0.18,0.41,0.0,0.03,0.02
0.0,0.17,,"(833, 391, 378, 378)","(1558, 467, 82, 82)",,0.0,0.0,,0.0,0.23,,1.0,0.03,,0.0,0.36,,0.0,0.17,,0.0,0.04,
0.0,0.17,,"(833, 391, 379, 379)","(1558, 467, 82, 82)",,0.0,0.0,,0.0,0.22,,1.0,0.03,,0.0,0.37,,0.0,0.18,,0.0,0.04,
0.0,0.11,0.14,"(832, 392, 377, 377)","(531, 720, 65, 65)","(1557, 464, 87, 87)",0.0,0.09,0.0,0.0,0.07,0.24,1.0,0.32,0.05,0.0,0.07,0.3,0.0,0.32,0.22,0.0,0.03,0.04
0.0,0.11,0.16,"(832, 391, 377, 377)","(534, 721, 63, 63)","(1557, 464, 88, 88)",0.0,0.06,0.01,0.0,0.09,0.24,1.0,0.31,0.03,0.0,0.05,0.24,0.0,0.35,0.26,0.0,0.03,0.06
0.0,0.11,0.16,"(832, 391, 377, 377)","(534, 721, 63, 63)","(1557, 464, 87, 87)",0.0,0.06,0.0,0.0,0.09,0.22,1.0,0.31,0.05,0.0,0.05,0.29,0.0,0.34,0.23,0.0,0.03,0.05
0.0,0.11,0.14,"(831, 391, 378, 378)","(535, 721, 63, 63)","(1558, 464, 87, 87)",0.0,0.06,0.0,0.0,0.1,0.24,1.0,0.3,0.04,0.0,0.06,0.28,0.0,0.33,0.25,0.0,0.05,0.04
0.0,,,"(819, 372, 389, 389)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(817, 372, 391, 391)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(821, 371, 389, 389)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"(821, 371, 389, 389)",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.22,0.09,"(838, 395, 367, 367)","(987, 675, 145, 145)","(1557, 466, 88, 88)",0.0,0.0,0.0,0.0,0.08,0.33,1.0,0.27,0.02,0.0,0.06,0.28,0.0,0.34,0.24,0.0,0.02,0.04
0.0,0.23,0.09,"(838, 395, 367, 367)","(987, 675, 145, 145)","(1557, 466, 88, 88)",0.0,0.0,0.0,0.0,0.08,0.32,1.0,0.28,0.02,0.0,0.06,0.28,0.0,0.34,0.24,0.0,0.02,0.04
0.0,0.22,,"(840, 396, 364, 364)","(988, 675, 144, 144)",,0.0,0.0,,0.0,0.08,,1.0,0.32,,0.0,0.05,,0.0,0.3,,0.0,0.02,
